window_size,stride,num_graphs,activity_acc,activity_f1,improved_activity_acc,improved_activity_f1,anomaly_rate,improved_anomaly_rate
60,5,313,0.0,0.0,0.0,0.0,7.142857142857142,7.142857142857142
60,10,164,0.0,0.0,0.06666666666666667,0.025,6.666666666666667,6.666666666666667
60,15,116,0.36363636363636365,0.46753246753246747,0.0,0.0,9.090909090909092,9.090909090909092
60,20,90,0.3333333333333333,0.4242424242424242,0.0,0.0,11.11111111111111,11.11111111111111
60,25,76,0.42857142857142855,0.4523809523809524,0.0,0.0,14.285714285714285,14.285714285714285
60,30,69,0.42857142857142855,0.4761904761904761,0.14285714285714285,0.07142857142857142,14.285714285714285,14.285714285714285
60,35,62,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.1111111111111111,16.666666666666664,16.666666666666664
60,40,57,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.13333333333333333,16.666666666666664,16.666666666666664
80,5,222,0.45714285714285713,0.4511166908946742,0.42857142857142855,0.4145021645021645,5.714285714285714,5.714285714285714
80,10,113,0.3888888888888889,0.3733333333333333,0.3888888888888889,0.3733333333333333,5.555555555555555,5.555555555555555
80,25,49,0.5,0.5,0.5,0.5,12.5,12.5
100,5,166,0.8166666666666667,0.7958583918030961,0.825,0.8038920454545455,5.0,5.0
